											
											
#		Español	Español LATAM	Japonés	Inglés	Francés	Alemán	Italiano	Coreano	Chino simplificado	Chino tradicional
428		Cabezazo zen	Cabezazo zen	しねんのずつき	Zen Headbutt	Psykoud’Boul	Zen-Kopfstoß	Cozzata Zen	사념의박치기	意念头锤	意念頭錘
429		Disparo espejo	Disparo espejo	ミラーショット	Mirror Shot	Miroi-Tir	Spiegelsalve	Cristalcolpo	미러샷	镜光射击	鏡光射擊
430		Cañón resplandor	Cañón resplandor	ラスターカノン	Flash Cannon	Luminocanon	Lichtkanone	Cannonflash	러스터캐논	加农光炮	加農光炮
431		Treparrocas	Treparrocas	ロッククライム	Rock Climb	Escalade	Kraxler	Scalaroccia	록클라임	攀岩	攀岩
432		Despejar	Desempañar	きりばらい	Defog	Anti-Brume	Auflockern	Scacciabruma	안개제거	清除浓雾	清除濃霧
433		Espacio raro	Espacio raro	トリックルーム	Trick Room	Distorsion	Bizarroraum	Distortozona	트릭룸	戏法空间	戲法空間
434		Cometa draco	Meteoro dragón	りゅうせいぐん	Draco Meteor	Draco-Météore	Draco Meteor	Dragobolide	용성군	流星群	流星群
435		Chispazo	Chispazo	ほうでん	Discharge	Coup d’Jus	Ladungsstoß	Scarica	방전	放电	放電
436		Humareda	Bomba de lava	ふんえん	Lava Plume	Ébullilave	Flammensturm	Lavasbuffo	분연	喷烟	噴煙
437		Lluevehojas	Tormenta de hojas	リーフストーム	Leaf Storm	Tempête Verte	Blättersturm	Verdebufera	리프스톰	飞叶风暴	飛葉風暴
438		Latigazo	Latigazo	パワーウィップ	Power Whip	Mégafouet	Blattgeißel	Vigorcolpo	파워휩	强力鞭打	強力鞭打
439		Romperrocas	Romperrocas	がんせきほう	Rock Wrecker	Roc-Boulet	Felswerfer	Devastomasso	암석포	岩石炮	岩石炮
440		Veneno X	Veneno X	クロスポイズン	Cross Poison	Poison Croix	Giftstreich	Velenocroce	크로스포이즌	十字毒刃	十字毒刃
441		Lanzamugre	Lanzamugre	ダストシュート	Gunk Shot	Détricanon	Mülltreffer	Sporcolancio	더스트슈트	垃圾射击	垃圾射擊
442		Cabeza de hierro	Cabeza de hierro	アイアンヘッド	Iron Head	Tête de Fer	Eisenschädel	Metaltestata	아이언헤드	铁头	鐵頭
443		Bomba imán	Magnetobomba	マグネットボム	Magnet Bomb	Bombe Aimant	Magnetbombe	Bombagnete	마그넷봄	磁铁炸弹	磁鐵炸彈
444		Roca afilada	Roca afilada	ストーンエッジ	Stone Edge	Lame de Roc	Steinkante	Pietrataglio	스톤에지	尖石攻击	尖石攻擊
445		Seducción	Seducción	ゆうわく	Captivate	Séduction	Liebreiz	Incanto	유혹	诱惑	誘惑
446		Trampa rocas	Trampa de rocas	ステルスロック	Stealth Rock	Piège de Roc	Tarnsteine	Levitoroccia	스텔스록	隐形岩	隱形岩
447		Hierba lazo	Nudo de pasto	くさむすび	Grass Knot	Nœud Herbe	Strauchler	Laccioerboso	풀묶기	打草结	打草結
448		Cháchara	Parloteo	おしゃべり	Chatter	Babil	Geschwätz	Schiamazzo	수다	喋喋不休	喋喋不休
449		Sentencia	Juicio final	さばきのつぶて	Judgment	Jugement	Urteilskraft	Giudizio	심판의뭉치	制裁光砾	制裁光礫
450		Picadura	Picadura	むしくい	Bug Bite	Piqûre	Käferbiss	Coleomorso	벌레먹기	虫咬	蟲咬
451		Rayo carga	Rayo carga	チャージビーム	Charge Beam	Rayon Chargé	Ladestrahl	Raggioscossa	차지빔	充电光束	充電光束
452		Mazazo	Mazazo	ウッドハンマー	Wood Hammer	Martobois	Holzhammer	Mazzuolegno	우드해머	木槌	木槌
453		Acua jet	Acuajet	アクアジェット	Aqua Jet	Aqua-Jet	Wasserdüse	Acquagetto	아쿠아제트	水流喷射	水流噴射
454		Al ataque	Al ataque	こうげきしれい	Attack Order	Appel Attaque	Schlagbefehl	Comandourto	공격지령	攻击指令	攻擊指令
455		A defender	A defender	ぼうぎょしれい	Defend Order	Appel Défense	Blockbefehl	Comandoscudo	방어지령	防御指令	防禦指令
456		Auxilio	Auxilio	かいふくしれい	Heal Order	Appel Soins	Heilbefehl	Comandocura	회복지령	回复指令	回復指令
457		Testarazo	Topetazo	もろはのずつき	Head Smash	Fracass’Tête	Kopfstoß	Zuccata	양날박치기	双刃头锤	雙刃頭錘
458		Doble golpe	Doble golpe	ダブルアタック	Double Hit	Coup Double	Doppelschlag	Doppiosmash	더블어택	二连击	二連擊
459		Distorsión	Rugido temporal	ときのほうこう	Roar of Time	Hurle-Temps	Zeitenlärm	Fragortempo	시간의포효	时光咆哮	時光咆哮
460		Corte vacío	Corte espacial	あくうせつだん	Spacial Rend	Spatio-Rift	Raumschlag	Fendispazio	공간절단	亚空裂斩	亞空裂斬
461		Danza lunar	Danza de la luna	みかづきのまい	Lunar Dance	Danse Lune	Lunartanz	Lunardanza	초승달춤	新月舞	新月舞
462		Agarrón	Garra aplastante	にぎりつぶす	Crush Grip	Presse	Quetschgriff	Sbriciolmano	묵사발	捏碎	捏碎
463		Lluvia ígnea	Lluvia ígnea	マグマストーム	Magma Storm	Vortex Magma	Lavasturm	Magmaclisma	마그마스톰	熔岩风暴	熔岩風暴
464		Brecha negra	Abismo negro	ダークホール	Dark Void	Trou Noir	Schlummerort	Vuototetro	다크홀	暗黑洞	暗黑洞
465		Fulgor semilla	Fulgor semilla	シードフレア	Seed Flare	Fulmigraine	Schocksamen	Infuriaseme	시드플레어	种子闪光	種子閃光
466		Viento aciago	Viento ominoso	あやしいかぜ	Ominous Wind	Vent Mauvais	Unheilböen	Funestovento	괴상한바람	奇异之风	奇異之風
467		Golpe umbrío	Golpe umbrío	シャドーダイブ	Shadow Force	Revenant	Schemenkraft	Oscurotuffo	섀도다이브	暗影潜袭	暗影潛襲
468		Afilagarras	Afilagarras	つめとぎ	Hone Claws	Aiguisage	Klauenwetzer	Unghiaguzze	손톱갈기	磨爪	磨爪
469		Vasta guardia	Guardia amplia	ワイドガード	Wide Guard	Garde Large	Rundumschutz	Bodyguard	와이드가드	广域防守	廣域防守
470		Isoguardia	Guardia dividida	ガードシェア	Guard Split	Partage Garde	Schutzteiler	Paridifesa	가드셰어	防守平分	防守平分
471		Isofuerza	Fuerza dividida	パワーシェア	Power Split	Partage Force	Kraftteiler	Pariattacco	파워셰어	力量平分	力量平分
472		Zona extraña	Zona extraña	ワンダールーム	Wonder Room	Zone Étrange	Wunderraum	Mirabilzona	원더룸	奇妙空间	奇妙空間
473		Psicocarga	Choque psíquico	サイコショック	Psyshock	Choc Psy	Psychoschock	Psicoshock	사이코쇼크	精神冲击	精神衝擊
474		Carga tóxica	Carga tóxica	ベノムショック	Venoshock	Choc Venin	Giftschock	Velenoshock	베놈쇼크	毒液冲击	毒液衝擊
475		Aligerar	Aligerar	ボディパージ	Autotomize	Allègement	Autotomie	Sganciapesi	바디퍼지	身体轻量化	身體輕量化
476		Polvo ira	Polvo ira	いかりのこな	Rage Powder	Poudre Fureur	Wutpulver	Polverabbia	분노가루	愤怒粉	憤怒粉
477		Telequinesis	Telequinesis	テレキネシス	Telekinesis	Lévikinésie	Telekinese	Telecinesi	텔레키네시스	意念移物	意念移物
478		Zona mágica	Zona mágica	マジックルーム	Magic Room	Zone Magique	Magieraum	Magicozona	매직룸	魔法空间	魔法空間
479		Antiaéreo	Antiaéreo	うちおとす	Smack Down	Anti-Air	Katapult	Abbattimento	떨어뜨리기	击落	擊落
480		Llave corsé	Llave tempestad	やまあらし	Storm Throw	Yama Arashi	Bergsturm	Tempestretta	업어후리기	山岚摔	山嵐摔
481		Pirotecnia	Golpe de fuego	はじけるほのお	Flame Burst	Rebondifeu	Funkenflug	Pirolancio	불꽃튀기기	烈焰溅射	烈焰濺射
482		Onda tóxica	Ola de lodo	ヘドロウェーブ	Sludge Wave	Cradovague	Schlammwoge	Fangonda	오물웨이브	污泥波	污泥波
483		Danza aleteo	Danza del aleteo	ちょうのまい	Quiver Dance	Papillodanse	Falterreigen	Eledanza	나비춤	蝶舞	蝶舞
484		Cuerpo pesado	Golpe pesado	ヘビーボンバー	Heavy Slam	Tacle Lourd	Rammboss	Pesobomba	헤비봄버	重磅冲撞	重磅衝撞
485		Sincrorruido	Sincrorruido	シンクロノイズ	Synchronoise	Synchropeine	Synchrolärm	Sincrumore	싱크로노이즈	同步干扰	同步干擾
486		Bola voltio	Electrobola	エレキボール	Electro Ball	Boule Élek	Elektroball	Energisfera	일렉트릭볼	电球	電球
487		Empapar	Empapar	みずびたし	Soak	Détrempage	Überflutung	Inondazione	물붓기	浸水	浸水
488		Nitrocarga	Carga de fuego	ニトロチャージ	Flame Charge	Nitrocharge	Nitroladung	Nitrocarica	니트로차지	蓄能焰袭	蓄能焰襲
489		Enrosque	Enrosque	とぐろをまく	Coil	Enroulement	Einrollen	Arrotola	똬리틀기	盘蜷	盤蜷
490		Puntapié	Barredora	ローキック	Low Sweep	Balayette	Fußtritt	Calciobasso	로킥	下盘踢	下盤踢
491		Bomba ácida	Bomba ácida	アシッドボム	Acid Spray	Bombe Acide	Säurespeier	Acidobomba	애시드봄	酸液炸弹	酸液炸彈
492		Juego sucio	Juego sucio	イカサマ	Foul Play	Tricherie	Schmarotzer	Ripicca	속임수	移花接木	欺詐
493		Onda simple	Onda simple	シンプルビーム	Simple Beam	Rayon Simple	Wankelstrahl	Ondisinvolta	심플빔	单纯光束	單純光束
494		Danza amiga	Danza amiga	なかまづくり	Entrainment	Ten-Danse	Zwango	Saltamicizia	동료만들기	找伙伴	找夥伴
495		Cede paso	Ceda el paso	おさきにどうぞ	After You	Après Vous	Galanterie	Cortesia	당신먼저	您先请	您先請
496		Canon	Canon	りんしょう	Round	Chant Canon	Kanon	Coro	돌림노래	轮唱	輪唱
497		Eco voz	Eco voz	エコーボイス	Echoed Voice	Écho	Widerhall	Echeggiavoce	에코보이스	回声	回聲
498		Guardia baja	Guardia baja	なしくずし	Chip Away	Attrition	Zermürben	Insidia	야금야금	逐步击破	逐步擊破
499		Niebla clara	Humo claro	クリアスモッグ	Clear Smog	Bain de Smog	Klärsmog	Pulifumo	클리어스모그	清除之烟	清除之煙
500		Poder reserva	Poder acumulado	アシストパワー	Stored Power	Force Ajoutée	Kraftvorrat	Veicolaforza	어시스트파워	辅助力量	輔助力量
501		Anticipo	Defensa rápida	ファストガード	Quick Guard	Prévention	Rapidschutz	Anticipo	패스트가드	快速防守	快速防守
502		Cambio de banda	Cambio de lado	サイドチェンジ	Ally Switch	Interversion	Seitentausch	Cambiaposto	사이드체인지	交换场地	交換場地
503		Escaldar	Escaldar	ねっとう	Scald	Ébullition	Siedewasser	Idrovampata	열탕	热水	熱水
504		Rompecoraza	Rompecoraza	からをやぶる	Shell Smash	Exuviation	Hausbruch	Gettaguscio	껍질깨기	破壳	破殼
505		Pulso cura	Pulso sanador	いやしのはどう	Heal Pulse	Vibra Soin	Heilwoge	Curapulsar	치유파동	治愈波动	治癒波動
506		Infortunio	Infortunio	たたりめ	Hex	Châtiment	Bürde	Sciagura	병상첨병	祸不单行	禍不單行
507		Caída libre	Caída libre	フリーフォール	Sky Drop	Chute Libre	Freier Fall	Cadutalibera	프리폴	自由落体	自由落體
508		Cambio de marcha	Cambio de marcha	ギアチェンジ	Shift Gear	Change-Vitesse	Gangwechsel	Cambiomarcia	기어체인지	换档	換檔
509		Llave giro	Llave giro	ともえなげ	Circle Throw	Projection	Überkopfwurf	Ribaltiro	배대뒤치기	巴投	巴投
510		Calcinación	Incinerar	やきつくす	Incinerate	Calcination	Einäschern	Bruciatutto	불태우기	烧净	燒盡
511		Último lugar	Último lugar	さきおくり	Quash	À la Queue	Verzögerung	Spintone	순서미루기	延后	延後
512		Acróbata	Acrobacia	アクロバット	Acrobatics	Acrobatie	Akrobatik	Acrobazia	애크러뱃	杂技	雜技
513		Clonatipo	Clonatipo	ミラータイプ	Reflect Type	Copie-Type	Typenspiegel	Riflettipo	미러타입	镜面属性	鏡面屬性
514		Represalia	Represalia	かたきうち	Retaliate	Vengeance	Heimzahlung	Nemesi	원수갚기	报仇	報仇
515		Sacrificio	Sacrificio	いのちがけ	Final Gambit	Tout ou Rien	Wagemut	Azzardo	목숨걸기	搏命	搏命
516		Ofrenda	Ofrenda	ギフトパス	Bestow	Passe-Cadeau	Offerte	Cediregalo	기프트패스	传递礼物	傳遞禮物
517		Infierno	Infierno	れんごく	Inferno	Feu d’Enfer	Inferno	Marchiatura	연옥	烈火深渊	煉獄
518		Voto agua	Voto agua	みずのちかい	Water Pledge	Aire d’Eau	Wassersäulen	Acquapatto	물의맹세	水之誓约	水之誓約
519		Voto fuego	Voto fuego	ほのおのちかい	Fire Pledge	Aire de Feu	Feuersäulen	Fiammapatto	불꽃의맹세	火之誓约	火之誓約
520		Voto planta	Voto planta	くさのちかい	Grass Pledge	Aire d’Herbe	Pflanzensäulen	Erbapatto	풀의맹세	草之誓约	草之誓約
521		Voltiocambio	Cambiavoltaje	ボルトチェンジ	Volt Switch	Change-Éclair	Voltwechsel	Invertivolt	볼트체인지	伏特替换	伏特替換
522		Estoicismo	Lucha insecto	むしのていこう	Struggle Bug	Survinsecte	Käfertrutz	Entomoblocco	벌레의저항	虫之抵抗	蟲之抵抗
523		Terratemblor	Terratemblor	じならし	Bulldoze	Piétisol	Dampfwalze	Battiterra	땅고르기	重踏	重踏
524		Vaho gélido	Vaho helado	こおりのいぶき	Frost Breath	Souffle Glacé	Eisesodem	Alitogelido	얼음숨결	冰息	冰息
525		Cola dragón	Cola de dragón	ドラゴンテール	Dragon Tail	Draco-Queue	Drachenrute	Codadrago	드래곤테일	龙尾	龍尾
526		Avivar	Avivar	ふるいたてる	Work Up	Rengorgement	Kraftschub	Cuordileone	분발	自我激励	自我激勵
527		Electrotela	Electrotela	エレキネット	Electroweb	Toile Élek	Elektronetz	Elettrotela	일렉트릭네트	电网	電網
528		Voltio cruel	Carga salvaje	ワイルドボルト	Wild Charge	Éclair Fou	Stromstoß	Sprizzalampo	와일드볼트	疯狂伏特	瘋狂伏特
529		Taladradora	Taladradora	ドリルライナー	Drill Run	Tunnelier	Schlagbohrer	Giravvita	드릴라이너	直冲钻	直衝鑽
530		Golpe bis	Golpe dual	ダブルチョップ	Dual Chop	Double Baffe	Doppelhieb	Doppiocolpo	더블촙	二连劈	二連劈
531		Arrumaco	Sello de corazón	ハートスタンプ	Heart Stamp	Crève-Cœur	Herzstempel	Cuorestampo	하트스탬프	爱心印章	愛心印章
532		Asta drenaje	Drenacuerno	ウッドホーン	Horn Leech	Encornebois	Holzgeweih	Legnicorno	우드혼	木角	木角
533		Espada santa	Espada sagrada	せいなるつるぎ	Sacred Sword	Lame Sainte	Sanctoklinge	Spadasolenne	성스러운칼	圣剑	聖劍
534		Concha filo	Coraza afilada	シェルブレード	Razor Shell	Coqui-Lame	Kalkklinge	Conchilama	셸블레이드	贝壳刃	貝殼刃
535		Golpe calor	Golpe de calor	ヒートスタンプ	Heat Crash	Tacle Feu	Brandstempel	Marchiafuoco	히트스탬프	高温重压	高溫重壓
536		Ciclón de hojas	Ciclón de hojas	グラスミキサー	Leaf Tornado	Phytomixeur	Grasmixer	Vorticerba	그래스믹서	青草搅拌器	青草攪拌器
537		Rodillo de púas	Aplanadora	ハードローラー	Steamroller	Bulldoboule	Quetschwalze	Rulloduro	하드롤러	疯狂滚压	瘋狂滾壓
538		Rizo algodón	Guardialgodón	コットンガード	Cotton Guard	Cotogarde	Watteschild	Cotonscudo	코튼가드	棉花防守	棉花防守
539		Pulso noche	Pulso nocturno	ナイトバースト	Night Daze	Explonuit	Nachtflut	Urtoscuro	나이트버스트	暗黑爆破	暗黑爆破
540		Onda mental	Onda mental	サイコブレイク	Psystrike	Frappe Psy	Psychostoß	Psicobotta	사이코브레이크	精神击破	精神擊破
541		Plumerazo	Golpe de cola	スイープビンタ	Tail Slap	Plumo-Queue	Kehrschelle	Spazzasberla	스위프뺨치기	扫尾拍打	掃尾拍打
542		Vendaval	Huracán	ぼうふう	Hurricane	Vent Violent	Orkan	Tifone	폭풍	暴风	暴風
543		Ariete	Carga de cabeza	アフロブレイク	Head Charge	Peignée	Steinschädel	Ricciolata	아프로브레이크	爆炸头突击	爆炸頭突擊
544		Rueda doble	Rueda doble	ギアソーサー	Gear Grind	Lancécrou	Klikkdiskus	Ingracolpo	기어소서	齿轮飞盘	齒輪飛盤
545		Bomba ígnea	Bomba ígnea	かえんだん	Searing Shot	Incendie	Flammenball	Sparafuoco	화염탄	火焰弹	火焰彈
546		Tecno shock	Tecno shock	テクノバスター	Techno Blast	Techno-Buster	Techblaster	Tecnobotto	테크노버스터	高科技光炮	高科技光炮
547		Canto arcaico	Canto arcaico	いにしえのうた	Relic Song	Chant Antique	Urgesang	Cantoantico	옛노래	古老之歌	古老之歌
548		Sable místico	Espada secreta	しんぴのつるぎ	Secret Sword	Lame Ointe	Mystoschwert	Spadamistica	신비의칼	神秘之剑	神秘之劍
549		Mundo gélido	Mundo gélido	こごえるせかい	Glaciate	Ère Glaciaire	Eiszeit	Gelamondo	얼어붙은세계	冰封世界	冰封世界
550		Ataque fulgor	Ataque fulgor	らいげき	Bolt Strike	Charge Foudre	Blitzschlag	Lucesiluro	뇌격	雷击	雷擊
551		Llama azul	Llama azul	あおいほのお	Blue Flare	Flamme Bleue	Blauflammen	Fuocoblu	푸른불꽃	青焰	青焰
552		Danza llama	Danza de llamas	ほのおのまい	Fiery Dance	Danse du Feu	Feuerreigen	Voldifuoco	불꽃춤	火之舞	火之舞
553		Rayo gélido	Rayo gélido	フリーズボルト	Freeze Shock	Éclair Gelé	Frostvolt	Elettrogelo	프리즈볼트	冰冻伏特	冰凍伏特
554		Llama gélida	Llama gélida	コールドフレア	Ice Burn	Feu Glacé	Frosthauch	Vampagelida	콜드플레어	极寒冷焰	極寒冷焰
555		Alarido	Alarido	バークアウト	Snarl	Aboiement	Standpauke	Urlorabbia	바크아웃	大声咆哮	大聲咆哮
556		Chuzos	Carámbano	つららおとし	Icicle Crash	Chute Glace	Eiszapfhagel	Scagliagelo	고드름떨구기	冰柱坠击	冰柱墜擊
557		V de fuego	V de fuego	Ｖジェネレート	V-create	Coup Victoire	V-Generator	Generatore V	V제너레이트	Ｖ热焰	Ｖ熱焰
558		Llama fusión	Llama fusión	クロスフレイム	Fusion Flare	Flamme Croix	Kreuzflamme	Incrofiamma	크로스플레임	交错火焰	交錯火焰
559		Rayo fusión	Rayo fusión	クロスサンダー	Fusion Bolt	Éclair Croix	Kreuzdonner	Incrotuono	크로스썬더	交错闪电	交錯閃電
560		Plancha voladora	Plancha voladora	フライングプレス	Flying Press	Flying Press	Flying Press	Schiacciatuffo	플라잉프레스	飞身重压	飛身重壓
561		Escudo tatami	Escudo tatami	たたみがえし	Mat Block	Tatamigaeshi	Tatami-Schild	Ribaltappeto	마룻바닥세워막기	掀榻榻米	掀榻榻米
562		Eructo	Eructo	ゲップ	Belch	Éructation	Rülpser	Rutto	트림	打嗝	打嗝
563		Fertilizante	Fertilizante	たがやす	Rototiller	Fertilisation	Pflüger	Aracampo	일구기	耕地	耕地
564		Red viscosa	Red pegajosa	ねばねばネット	Sticky Web	Toile Gluante	Klebenetz	Rete Vischiosa	끈적끈적네트	黏黏网	黏黏網
565		Aguijón letal	Aguijón letal	とどめばり	Fell Stinger	Dard Mortel	Stachelfinale	Pungiglione	마지막일침	致命针刺	致命針刺
566		Golpe fantasma	Golpe fantasma	ゴーストダイブ	Phantom Force	Hantise	Phantomkraft	Spettrotuffo	고스트다이브	潜灵奇袭	潛靈奇襲
567		Halloween	Halloween	ハロウィン	Trick-or-Treat	Halloween	Halloween	Halloween	핼러윈	万圣夜	萬聖夜
568		Rugido de guerra	Rugido de guerra	おたけび	Noble Roar	Râle Mâle	Kampfgebrüll	Urlo	부르짖기	战吼	戰吼
569		Cortina plasma	Cortina plasma	プラズマシャワー	Ion Deluge	Déluge Plasmique	Plasmaschauer	Pioggiaplasma	플라스마샤워	等离子浴	等離子浴
570		Carga parábola	Carga parabólica	パラボラチャージ	Parabolic Charge	Parabocharge	Parabolladung	Caricaparabola	파라볼라차지	抛物面充电	拋物面充電
571		Condena silvana	Condena silvana	もりののろい	Forest’s Curse	Maléfice Sylvain	Waldesfluch	Boscomalocchio	숲의저주	森林咒术	森林詛咒
572		Tormenta floral	Tormenta de pétalos	はなふぶき	Petal Blizzard	Tempête Florale	Blütenwirbel	Fiortempesta	꽃보라	落英缤纷	落英繽紛
573		Liofilización	Liofilización	フリーズドライ	Freeze-Dry	Lyophilisation	Gefriertrockner	Liofilizzazione	프리즈드라이	冷冻干燥	冷凍乾燥
574		Voz cautivadora	Voz encantadora	チャームボイス	Disarming Voice	Voix Enjôleuse	Säuselstimme	Incantavoce	차밍보이스	魅惑之声	魅惑之聲
575		Última palabra	Última palabra	すてゼリフ	Parting Shot	Dernier Mot	Abgangstirade	Monito	막말내뱉기	抛下狠话	拋下狠話
576		Reversión	Reversión	ひっくりかえす	Topsy-Turvy	Renversement	Invertigo	Sottosopra	뒤집어엎기	颠倒	顛倒
577		Beso drenaje	Beso drenador	ドレインキッス	Draining Kiss	Vampibaiser	Diebeskuss	Assorbibacio	드레인키스	吸取之吻	吸取之吻
578		Truco defensa	Truco defensa	トリックガード	Crafty Shield	Vigilance	Trickschutz	Truccodifesa	트릭가드	戏法防守	戲法防守
579		Defensa floral	Defensa floral	フラワーガード	Flower Shield	Garde Florale	Floraschutz	Fiordifesa	플라워가드	鲜花防守	鮮花防守
580		Campo de hierba	Campo de césped	グラスフィールド	Grassy Terrain	Champ Herbu	Grasfeld	Campo Erboso	그래스필드	青草场地	青草場地
581		Campo de niebla	Campo de niebla	ミストフィールド	Misty Terrain	Champ Brumeux	Nebelfeld	Campo Nebbioso	미스트필드	薄雾场地	薄霧場地
582		Electrificación	Electrificación	そうでん	Electrify	Électrisation	Elektrifizierung	Elettrocontagio	송전	输电	輸電
583		Carantoña	Juego rudo	じゃれつく	Play Rough	Câlinerie	Knuddler	Carineria	치근거리기	嬉闹	嬉鬧
584		Viento feérico	Viento feérico	ようせいのかぜ	Fairy Wind	Vent Féérique	Feenbrise	Vento di Fata	요정의바람	妖精之风	妖精之風
585		Fuerza lunar	Fuerza lunar	ムーンフォース	Moonblast	Pouvoir Lunaire	Mondgewalt	Forza Lunare	문포스	月亮之力	月亮之力
586		Estruendo	Estruendo	ばくおんぱ	Boomburst	Bang Sonique	Überschallknall	Ondaboato	폭음파	爆音波	爆音波
587		Cerrojo feérico	Cerrojo feérico	フェアリーロック	Fairy Lock	Verrou Enchanté	Feenschloss	Blocco Fatato	페어리록	妖精之锁	妖精之鎖
588		Escudo real	Escudo real	キングシールド	King’s Shield	Bouclier Royal	Königsschild	Scudo Reale	킹실드	王者盾牌	王者盾牌
589		Camaradería	Camaradería	なかよくする	Play Nice	Camaraderie	Kameradschaft	Simpatia	친해지기	和睦相处	和睦相處
590		Confidencia	Confidencia	ないしょばなし	Confide	Confidence	Vertrauenssache	Confidenza	비밀이야기	密语	密語
591		Tormenta de diamantes	Tormenta de diamantes	ダイヤストーム	Diamond Storm	Orage Adamantin	Diamantsturm	Diamantempesta	다이아스톰	钻石风暴	鑽石風暴
592		Chorro de vapor	Chorro de vapor	スチームバースト	Steam Eruption	Jet de Vapeur	Dampfschwall	Vaporscoppio	스팀버스트	蒸汽爆炸	蒸汽爆炸
593		Paso dimensional	Paso dimensional	いじげんホール	Hyperspace Hole	TrouDimensionnel	Dimensionsloch	Forodimensionale	이차원홀	异次元洞	異次元洞
594		Shuriken de agua	Shuriken de agua	みずしゅりけん	Water Shuriken	Sheauriken	Wasser-Shuriken	Acqualame	물수리검	飞水手里剑	飛水手裡劍
595		Llama embrujada	Fuego místico	マジカルフレイム	Mystical Fire	Feu Ensorcelé	Magieflamme	Magifiamma	매지컬플레임	魔法火焰	魔法火焰
596		Barrera espinosa	Barrera espinosa	ニードルガード	Spiky Shield	Pico-Défense	Schutzstacheln	Agodifesa	니들가드	尖刺防守	尖刺防守
597		Niebla aromática	Niebla aromática	アロマミスト	Aromatic Mist	Brume Capiteuse	Duftwolke	Nebularoma	아로마미스트	芳香薄雾	芳香薄霧
598		Onda anómala	Onda anómala	かいでんぱ	Eerie Impulse	Ondes Étranges	Mystowellen	Elettromistero	괴전파	怪异电波	怪異電波
599		Trampa venenosa	Trampa venenosa	ベノムトラップ	Venom Drench	Piège de Venin	Giftfalle	Velenotrappola	베놈트랩	毒液陷阱	毒液陷阱
600		Polvo explosivo	Pólvora	ふんじん	Powder	Nuée de Poudre	Pulverschleuder	Pulviscoppio	분진	粉尘	粉塵
601		Geocontrol	Geocontrol	ジオコントロール	Geomancy	Géo-Contrôle	Geokontrolle	Geocontrollo	지오컨트롤	大地掌控	大地掌控
602		Aura magnética	Aura magnética	じばそうさ	Magnetic Flux	Magné-Contrôle	Magnetregler	Controllo Polare	자기장조작	磁场操控	磁場操控
603		Paga extra	Paga extra	ハッピータイム	Happy Hour	Étrennes	Goldene Zeiten	Cuccagna	해피타임	欢乐时光	歡樂時光
604		Campo eléctrico	Campo eléctrico	エレキフィールド	Electric Terrain	Champ Électrifié	Elektrofeld	Campo Elettrico	일렉트릭필드	电气场地	電氣場地
605		Brillo mágico	Brillo mágico	マジカルシャイン	Dazzling Gleam	Éclat Magique	Zauberschein	Magibrillio	매지컬샤인	魔法闪耀	魔法閃耀
606		Celebración	Celebración	おいわい	Celebrate	Célébration	Ehrentag	Auguri	축하	庆祝	慶祝
607		Manos juntas	Manos juntas	てをつなぐ	Hold Hands	Mains Jointes	Händchenhalten	Mano nella Mano	손에손잡기	牵手	牽手
608		Ojitos tiernos	Ojitos tiernos	つぶらなひとみ	Baby-Doll Eyes	Regard Touchant	Kulleraugen	Occhioni Teneri	초롱초롱눈동자	圆瞳	圓瞳
609		Moflete estático	Frote	ほっぺすりすり	Nuzzle	Frotte-Frimousse	Wangenrubbler	Elettrococcola	볼부비부비	蹭蹭脸颊	蹭蹭臉頰
610		Clemencia	Clemencia	てかげん	Hold Back	Retenue	Zurückhaltung	Riguardo	적당히손봐주기	手下留情	手下留情
611		Acoso	Infestación	まとわりつく	Infestation	Harcèlement	Plage	Assillo	엉겨붙기	纠缠不休	死纏爛打
612		Puño incremento	Puño incremento	グロウパンチ	Power-Up Punch	Poing Boost	Steigerungshieb	Crescipugno	그로우펀치	增强拳	增強拳
613		Ala mortífera	Ala del olvido	デスウイング	Oblivion Wing	Mort’Ailes	Unheilsschwingen	Ali del Fato	데스윙	归天之翼	死亡之翼
614		Mil flechas	Mil flechas	サウザンアロー	Thousand Arrows	Myria-Flèches	Tausend Pfeile	Mille Frecce	사우전드애로	千箭齐发	千箭齊發
615		Mil temblores	Mil temblores	サウザンウェーブ	Thousand Waves	Myria-Vagues	Tausend Wellen	Mille Onde	사우전드웨이브	千波激荡	千波激盪
616		Fuerza telúrica	Fuerza telúrica	グランドフォース	Land’s Wrath	Force Chtonienne	Bodengewalt	Forza Tellurica	그라운드포스	大地神力	大地神力
617		Luz aniquiladora	Luz aniquiladora	はめつのひかり	Light of Ruin	Lumière du Néant	Lux Calamitatis	Luce Nefasta	파멸의빛	破灭之光	破滅之光
618		Pulso primigenio	Pulso primigenio	こんげんのはどう	Origin Pulse	Onde Originelle	Ursprungswoge	Primopulsar	근원의파동	根源波动	根源波動
619		Filo del abismo	Filo del abismo	だんがいのつるぎ	Precipice Blades	Lame Pangéenne	Abgrundsklinge	Spade Telluriche	단애의칼	断崖之剑	斷崖之劍
620		Ascenso draco	Ascenso dracónico	ガリョウテンセイ	Dragon Ascent	Draco-Ascension	Zenitstürmer	Ascesa del Drago	화룡점정	画龙点睛	畫龍點睛
